,Players,GP : Games Played,GS : Games Started,MP : Minutes Played,G : Goals,HG : Header Goals,PKG : Penalty Kick Goals,A : Assists,S : Shots,SOG : Shots On Goal,SOFF : Shots Off Target,OFF : Offsides,CK : Corner Kicks,YC : Yellow Cards,RC : Red Cards,YRC : Yellow Red Cards
0,        H. Kane      ENG,    5  ,    5  ,    402  ,    2  ,    0  ,    1  ,    3  ,    10  ,    6  ,    2  ,    0  ,    0  ,    0  ,    0  ,    0  
1,        L. Messi      ARG,    6  ,    6  ,    570  ,    5  ,    0  ,    3  ,    3  ,    26  ,    13  ,    10  ,    2  ,    14  ,    1  ,    0  ,    0  
2,        A. Griezmann      FRA,    5  ,    5  ,    377  ,    0  ,    0  ,    0  ,    3  ,    6  ,    3  ,    2  ,    3  ,    24  ,    1  ,    0  ,    0  
3,        B. Fernandes      POR,    4  ,    4  ,    357  ,    2  ,    0  ,    1  ,    3  ,    8  ,    3  ,    4  ,    1  ,    16  ,    1  ,    0  ,    0  
4,        D. Klaassen      NED,    4  ,    4  ,    191  ,    1  ,    0  ,    0  ,    2  ,    3  ,    1  ,    1  ,    0  ,    0  ,    0  ,    0  ,    0  
5,        D. Dumfries      NED,    5  ,    5  ,    480  ,    1  ,    0  ,    0  ,    2  ,    1  ,    1  ,    0  ,    2  ,    0  ,    0  ,    0  ,    1  
6,        P. Foden      ENG,    4  ,    4  ,    260  ,    1  ,    0  ,    0  ,    2  ,    6  ,    1  ,    3  ,    0  ,    13  ,    0  ,    0  ,    0  
7,        C. Pulisic      USA,    4  ,    4  ,    315  ,    1  ,    0  ,    0  ,    2  ,    9  ,    5  ,    2  ,    1  ,    19  ,    0  ,    0  ,    0  
8,        T. Hernandez      FRA,    4  ,    4  ,    347  ,    0  ,    0  ,    0  ,    2  ,    4  ,    1  ,    2  ,    0  ,    0  ,    1  ,    0  ,    0  
9,        K. Mbappe      FRA,    5  ,    5  ,    387  ,    5  ,    1  ,    0  ,    2  ,    20  ,    10  ,    4  ,    1  ,    5  ,    0  ,    0  ,    0  
10,        J. Alba      ESP,    4  ,    4  ,    266  ,    0  ,    0  ,    0  ,    2  ,    2  ,    0  ,    1  ,    1  ,    0  ,    0  ,    0  ,    0  
11,        I. Perisic      CRO,    6  ,    6  ,    581  ,    1  ,    1  ,    0  ,    2  ,    14  ,    4  ,    7  ,    2  ,    1  ,    0  ,    0  ,    0  
12,        M. Orsic      CRO,    5  ,    5  ,    70  ,    0  ,    0  ,    0  ,    2  ,    3  ,    1  ,    1  ,    0  ,    1  ,    0  ,    0  ,    0  
13,        D. Tadic      SRB,    3  ,    3  ,    258  ,    0  ,    0  ,    0  ,    2  ,    2  ,    1  ,    1  ,    1  ,    9  ,    0  ,    0  ,    0  
14,        A. Zivkovic      SRB,    3  ,    3  ,    213  ,    0  ,    0  ,    0  ,    2  ,    1  ,    0  ,    1  ,    0  ,    0  ,    0  ,    0  ,    0  
15,        V. Junior      BRA,    4  ,    4  ,    301  ,    1  ,    0  ,    0  ,    2  ,    8  ,    3  ,    4  ,    3  ,    0  ,    0  ,    0  ,    0  
16,        R. Guerreiro      POR,    4  ,    4  ,    279  ,    1  ,    0  ,    0  ,    2  ,    3  ,    1  ,    1  ,    0  ,    2  ,    0  ,    0  ,    0  
17,        D. Dalot      POR,    3  ,    3  ,    259  ,    0  ,    0  ,    0  ,    2  ,    1  ,    1  ,    0  ,    0  ,    0  ,    0  ,    0  ,    0  
18,        J. Felix      POR,    4  ,    4  ,    334  ,    1  ,    0  ,    0  ,    2  ,    10  ,    3  ,    3  ,    1  ,    0  ,    1  ,    0  ,    0  
19,        O. Dembele      FRA,    5  ,    5  ,    318  ,    0  ,    0  ,    0  ,    2  ,    9  ,    3  ,    1  ,    2  ,    0  ,    1  ,    0  ,    0  
20,        A. Preciado      ECU,    3  ,    3  ,    265  ,    0  ,    0  ,    0  ,    1  ,    4  ,    1  ,    3  ,    0  ,    0  ,    0  ,    0  ,    0  
21,        F. Torres      ECU,    3  ,    3  ,    270  ,    0  ,    0  ,    0  ,    1  ,    0  ,    0  ,    0  ,    0  ,    0  ,    0  ,    0  ,    0  
22,        D. Blind      NED,    5  ,    5  ,    424  ,    1  ,    0  ,    0  ,    1  ,    6  ,    2  ,    3  ,    0  ,    1  ,    0  ,    0  ,    0  
23,        S. Berghuis      NED,    4  ,    4  ,    199  ,    0  ,    0  ,    0  ,    1  ,    5  ,    0  ,    2  ,    0  ,    2  ,    1  ,    0  ,    0  
24,        T. Koopmeiners      NED,    5  ,    5  ,    218  ,    0  ,    0  ,    0  ,    1  ,    2  ,    1  ,    1  ,    0  ,    0  ,    1  ,    0  ,    0  
