,Players,GP : Games Played,GS : Games Started,MP : Minutes Played,CS : Clean Sheets,GA : Goals Allowed,SOG : Shots on Goal Against,SV : Saves,SV%: Goalie Save Percentage,PKG : Penalty Kick Goals,PK : Penalty Kicks,PKSV : Penalty Kick Saves,YC : Yellow Cards,RC : Red Cards
0,        L. Skorupski      POL,    0  ,    0  ,    90  ,    0  ,    0  ,    0  ,    0  ,    -  ,    0  ,    0  ,    0  ,    0  ,    0  
1,        K. Grabara      POL,    0  ,    0  ,    90  ,    0  ,    0  ,    0  ,    0  ,    -  ,    0  ,    0  ,    0  ,    0  ,    0  
2,        M. Alyami      KSA,    0  ,    0  ,    90  ,    0  ,    0  ,    0  ,    0  ,    -  ,    0  ,    0  ,    0  ,    0  ,    0  
3,        Munir      MAR,    1  ,    1  ,    90  ,    1  ,    0  ,    5  ,    5  ,    1.000  ,    0  ,    0  ,    0  ,    0  ,    0  
4,        P. Rajkovic      SRB,    0  ,    0  ,    0  ,    0  ,    0  ,    0  ,    0  ,    -  ,    0  ,    0  ,    0  ,    1  ,    0  
5,        Weverton      BRA,    1  ,    1  ,    10  ,    0  ,    0  ,    0  ,    0  ,    -  ,    0  ,    0  ,    0  ,    0  ,    0  
6,        N. Al-Aqidi      KSA,    0  ,    0  ,    90  ,    0  ,    0  ,    0  ,    0  ,    -  ,    0  ,    0  ,    0  ,    0  ,    0  
7,        A. Beiranvand      IRN,    2  ,    2  ,    110  ,    0  ,    1  ,    5  ,    4  ,    .800  ,    0  ,    0  ,    0  ,    0  ,    0  
8,        A. Dahmen      TUN,    3  ,    3  ,    270  ,    2  ,    1  ,    12  ,    11  ,    .917  ,    0  ,    0  ,    0  ,    0  ,    0  
9,        Bono      MAR,    4  ,    4  ,    390  ,    3  ,    1  ,    7  ,    6  ,    .857  ,    1  ,    3  ,    2  ,    0  ,    0  
10,        Ederson      BRA,    1  ,    1  ,    90  ,    0  ,    1  ,    3  ,    2  ,    .667  ,    0  ,    0  ,    0  ,    0  ,    0  
11,        A. Onana      CMR,    1  ,    1  ,    90  ,    0  ,    1  ,    3  ,    2  ,    .667  ,    0  ,    0  ,    0  ,    0  ,    0  
12,        W. Hennessey      WAL,    2  ,    2  ,    176  ,    0  ,    1  ,    6  ,    5  ,    .833  ,    0  ,    0  ,    0  ,    0  ,    1  
13,        S. Mandanda      FRA,    1  ,    1  ,    90  ,    0  ,    1  ,    2  ,    1  ,    .500  ,    0  ,    0  ,    0  ,    0  ,    0  
14,        S. Al Sheeb      QAT,    1  ,    1  ,    90  ,    0  ,    2  ,    3  ,    1  ,    .333  ,    1  ,    1  ,    0  ,    1  ,    0  
15,        G. Kobel      SUI,    1  ,    1  ,    90  ,    0  ,    2  ,    5  ,    3  ,    .600  ,    0  ,    0  ,    0  ,    0  ,    0  
16,        Alisson      BRA,    4  ,    4  ,    380  ,    3  ,    2  ,    7  ,    5  ,    .714  ,    4  ,    4  ,    0  ,    0  ,    0  
17,        S. Rochet      URU,    3  ,    3  ,    270  ,    2  ,    2  ,    7  ,    5  ,    .714  ,    1  ,    2  ,    1  ,    0  ,    0  
18,        T. Courtois      BEL,    3  ,    3  ,    270  ,    2  ,    2  ,    11  ,    9  ,    .818  ,    0  ,    1  ,    1  ,    0  ,    0  
19,        H. Galindez      ECU,    3  ,    3  ,    270  ,    1  ,    3  ,    6  ,    3  ,    .500  ,    1  ,    1  ,    0  ,    0  ,    0  
20,        G. Ochoa      MEX,    3  ,    3  ,    270  ,    1  ,    3  ,    6  ,    3  ,    .500  ,    0  ,    1  ,    1  ,    0  ,    0  
21,        K. Schmeichel      DEN,    3  ,    3  ,    270  ,    1  ,    3  ,    11  ,    8  ,    .727  ,    0  ,    0  ,    0  ,    0  ,    0  
22,        U. Simon      ESP,    4  ,    4  ,    390  ,    2  ,    3  ,    11  ,    8  ,    .727  ,    3  ,    4  ,    1  ,    0  ,    0  
23,        D. Epassy      CMR,    2  ,    2  ,    180  ,    1  ,    3  ,    15  ,    12  ,    .800  ,    0  ,    0  ,    0  ,    0  ,    0  
24,        J. Pickford      ENG,    5  ,    5  ,    450  ,    3  ,    4  ,    11  ,    7  ,    .636  ,    1  ,    1  ,    0  ,    0  ,    0  
