,Teams,GP : Games Played,TI : Throw Ins,INT : Interceptions,TKL : Tackles,TA : Tackles Attempted,GK : Goal Keeps,F : Fouls,FK : Free Kicks,OG : Own Goals
0,        Australia      ,    4  ,    94  ,    43  ,    36  ,    43  ,    38  ,    51  ,    51  ,    0  
1,        Brazil      ,    5  ,    101  ,    41  ,    69  ,    90  ,    27  ,    64  ,    83  ,    0  
2,        Argentina      ,    6  ,    122  ,    37  ,    57  ,    79  ,    34  ,    72  ,    100  ,    1  
3,        Croatia      ,    6  ,    146  ,    36  ,    79  ,    93  ,    39  ,    76  ,    91  ,    0  
4,        Morocco      ,    5  ,    89  ,    36  ,    61  ,    74  ,    54  ,    73  ,    72  ,    1  
5,        Netherlands      ,    5  ,    103  ,    33  ,    56  ,    66  ,    41  ,    84  ,    64  ,    0  
6,        England      ,    5  ,    84  ,    29  ,    48  ,    56  ,    35  ,    52  ,    74  ,    0  
7,        Cameroon      ,    3  ,    46  ,    28  ,    28  ,    31  ,    36  ,    31  ,    46  ,    0  
8,        Uruguay      ,    3  ,    65  ,    28  ,    47  ,    55  ,    24  ,    31  ,    42  ,    0  
9,        Iran      ,    3  ,    56  ,    26  ,    30  ,    37  ,    24  ,    39  ,    32  ,    0  
10,        France      ,    5  ,    96  ,    23  ,    63  ,    78  ,    47  ,    36  ,    58  ,    0  
11,        Japan      ,    4  ,    71  ,    23  ,    41  ,    50  ,    28  ,    55  ,    45  ,    0  
12,        Senegal      ,    4  ,    70  ,    21  ,    39  ,    47  ,    28  ,    47  ,    62  ,    0  
13,        Switzerland      ,    4  ,    80  ,    21  ,    27  ,    37  ,    31  ,    51  ,    58  ,    0  
14,        Canada      ,    3  ,    73  ,    20  ,    26  ,    27  ,    15  ,    33  ,    41  ,    0  
15,        Germany      ,    3  ,    64  ,    20  ,    36  ,    48  ,    16  ,    26  ,    38  ,    1  
16,        Qatar      ,    3  ,    53  ,    20  ,    28  ,    34  ,    26  ,    29  ,    55  ,    0  
17,        Mexico      ,    3  ,    63  ,    19  ,    35  ,    41  ,    26  ,    50  ,    55  ,    0  
18,        Costa Rica      ,    3  ,    43  ,    18  ,    37  ,    46  ,    34  ,    24  ,    45  ,    0  
19,        Ecuador      ,    3  ,    66  ,    18  ,    29  ,    39  ,    23  ,    49  ,    48  ,    0  
20,        Serbia      ,    3  ,    56  ,    18  ,    33  ,    39  ,    22  ,    43  ,    29  ,    0  
21,        South Korea      ,    4  ,    81  ,    18  ,    34  ,    45  ,    27  ,    43  ,    40  ,    0  
22,        Saudi Arabia      ,    3  ,    59  ,    17  ,    31  ,    42  ,    30  ,    53  ,    57  ,    0  
23,        Wales      ,    3  ,    72  ,    16  ,    27  ,    35  ,    25  ,    35  ,    39  ,    0  
24,        Ghana      ,    3  ,    55  ,    14  ,    40  ,    48  ,    30  ,    45  ,    40  ,    0  
25,        Portugal      ,    5  ,    93  ,    13  ,    61  ,    72  ,    36  ,    53  ,    73  ,    0  
26,        Spain      ,    4  ,    100  ,    13  ,    33  ,    46  ,    24  ,    40  ,    65  ,    0  
27,        Poland      ,    4  ,    71  ,    12  ,    35  ,    44  ,    47  ,    46  ,    55  ,    0  
28,        United States      ,    4  ,    80  ,    11  ,    31  ,    38  ,    20  ,    45  ,    48  ,    0  
29,        Tunisia      ,    3  ,    94  ,    10  ,    40  ,    49  ,    21  ,    43  ,    32  ,    0  
30,        Denmark      ,    3  ,    69  ,    8  ,    33  ,    44  ,    16  ,    27  ,    27  ,    0  
31,        Belgium      ,    3  ,    49  ,    7  ,    33  ,    40  ,    37  ,    29  ,    44  ,    0  
